지방청,선종,선명,선사명,총톤수,여객정원,속력,진수년도,운항항로
부산,카페리,뉴스타,(주)엠에스페리,9997,710,18,1999,부산-제주
인천,쾌속선,스마트,고려고속훼리(주),194,304,25,1991,인천-이작
인천,쾌속선,옹진훼미리,고려고속훼리(주),452,354,26,2002,백령-인천
인천,쾌속선,코리아나,(주)KS해운,226,288,24.9,1997,인천-덕적
인천,쾌속선,코리아스타,고려고속훼리(주),494,557,30,2003,인천-연평
인천,초쾌속선,코리아킹,고려고속훼리(주),534,449,40,2004,인천-백령
인천,초쾌속선,코리아피스,고려고속훼리(주),302,330,37,2008,인천-백령
인천,차도선,강화페리호,(주)삼보해운,69,54,10,2004,하리-서검
인천,차도선,나래호,(유)대부해운,159,161,15,2011,진리(덕적)-울도
인천,차도선,대부고속페리,(유)대부해운,592,600,16,2017,인천-이작
인천,차도선,대부고속훼리3,(유)대부해운,613,565,15,2015,대부-덕적
인천,차도선,대부아일랜드,(유)대부해운,489,410,16,2017,대부-이작
인천,차도선,북도고속페리,(유)한림해운,642,498,11,2015,삼목-장봉
인천,차도선,삼보12,(주)삼보해운,393,385,13,2008,외포-주문
인천,차도선,삼보6,(주)삼보해운,429,375,12,2004,외포-주문
인천,차도선,서해누리,(유)대부해운,106,93,12,2012,"인천-풍도,육도"
인천,차도선,코리아익스프레스카훼리,고려고속훼리(주),903,694,16,2017,인천-덕적
인천,차도선,플라잉카페리,고려고속훼리(주),573,411,33,1998,인천-연평
인천,차도선,하모니플라워,(주)에이치해운,2071,544,36,1998,인천-백령
여수,일반선,섬사랑,(주)해광운수,57,46,13,2018,손죽-광도
여수,일반선,여수거북선,남해안크루즈관광(주),426,300,11,2010,엑스포-돌산대교
여수,일반선,제98화랑,태평양해운(주),29,82,11,1998,여수-둔병
여수,일반선,태평양1,태평양해운(주),39,77,12.5,2014,여수-둔병
여수,초쾌속선,줄리아아쿠아,오션호프해운(주),228,296,34,1995,여수-둔병
여수,차도선,금오고속페리,(주)인천해상,255,236,17.5,2003,여수-연도
여수,차도선,금오페리7,(유)한림해운,224,242,10,1995,신기-여천
여수,차도선,대형카훼리3,태평양해운(주),99,128,9.5,2004,백야-낭도
여수,차도선,은해페리,평화해운(주),224,146,14,2014,녹동-거문(부정기)
여수,차도선,태평양3,태평양해운(주),242,249,12.8,2016,백약-낭도
여수,차도선,평화훼리5,평화해운(주),278,188,15,2001,녹동-신지
여수,차도선,평화페리9,평화해운(주),220,164,15,2008,녹동-동송
여수,차도선,평화페리11,평화해운(주),792,500,15,2018,녹동-거문
여수,차도선,한려페리7,(주)신아해운,212,230,11,2018,백야-직포
여수,차도선,한려페리9,(주)신아해운,217,246,11,2018,여수-함구미
여수,차도선,한림페리9,(유)한림해운,677,650,10,2015,신기-여천
여수,카페리,아리온제주,(주)남해고속,6266,818,21.5,2002,녹동-제주
여수,카페리,한일골드스텔다,(주)한일고속,15195,1220,23,1995,여수-제주
마산,일반선,매물도구경1,매도물해운(주),122,275,13.5,2016,저구-소매물도
마산,일반선,매물도구경2,매도물해운(주),124,275,13.5,2016,저구-소매물도
마산,일반선,매물도구경3,매도물해운(주),80,192,13,2002,저구-소매물도
마산,일반선,섬사랑3,(주)한솔해운,56,147,14,1990,통영-당금
마산,일반선,한솔1,(주)한솔해운,128,268,12,2012,통영-당금
마산,일반선,한솔2,(주)한솔해운,109,230,13,2016,통영-당금
마산,차도선,가자바다로,(주)대일해운,426,450,14,2019,통영-욕지
마산,차도선,그랜드페리,사량수산업협동조합,498,520,13,2018,가오치-사량
마산,차도선,나루칸,(주)제일해운,381,350,14,2018,통영-능양
마산,차도선,바다누리,(주)한솔해운,194,124,14.5,2015,"통영-두미,삼천포"
마산,차도선,사량,사량수산업협동조합,377,420,13,2011,가오치-사량
마산,차도선,세종1,(주)대일해운,173,209,11.5,1999,통영-용초
마산,차도선,시파라다이스,유성해운(주),199,190,14.5,2004,통영-한산도(관암)
마산,차도선,아평,(주)원,149,220,12,2016,삼덕-국도
마산,차도선,욕지수협,욕지해운(주),382,338,12.8,2019,중화-욕지
마산,차도선,욕지영동고속,영동해운(주),422,466,15,2007,삼덕-욕지
마산,차도선,욕지영동골드고속,영동해운(주),549,559,15,2011,삼덕-욕지
마산,차도선,욕지호,(주)대일해운,692,698,14,2015,통영-욕지
마산,차도선,통영누리,(주)경남해운,167,184,12.5,2017,삼덕-욕지
마산,차도선,통영훼리,(주)경남해운,166,168,12.5,2016,삼덕-욕지
마산,차도선,파라다이스,유성해운(주),290,274,13,2016,통영-한산도(관암)
마산,차도선,한려카페리,(주)한솔해운,92,63,14.3,2007,통영-추도
마산,차도선,한산농협카페리,한산농업협동조합,376,250,13,2019,통영-한산도(관암)
마산,차도선,한솔3,(주)한솔해운,190,284,14,2019,통영-당금
동해,초쾌속선,씨스타1,정도산업(주),388,442,40,2009,묵호-울릉(사동)-독도
동해,초쾌속선,씨스타3,씨스포빌(주),550,587,35,1998,묵호-울릉(도동)-독도
동해,초쾌속선,씨스타5,씨스포빌(주),388,438,35,2009,강릉-울릉(저동)-독도
동해,초쾌속선,씨스타11,씨스포빌(주),420,449,35,2017,강릉-울릉(저동)-독도
군산,고속선,뉴어청훼리,(유)대원종합선기,121,140,15,2002,군산-어청도
군산,차도선,개야카훼리,(유)대원종합선기,187,65,13,2015,군산-개야도
군산,차도선,고군산카훼리,(유)대원종합선기,217,118,12,2017,장자도-말도
군산,차도선,대원카훼리,(주)신한해운,322,350,11,2013,격포-위도
군산,차도선,파장금카페리,(주)포유디해운,322,346,11,2013,격포-위도
목포,쾌속선,뉴엔젤,(주)남해고속,320,337,33,2002,목포-홍도
목포,쾌속선,엔젤,조양운수(주),120,152,27,1994,목포-상태서리
목포,쾌속선,핑크돌핀,(주)남해고속,223,250,30,1996,목포-홍도
목포,차도선,가사페리,서진도농업협동조합,161,150,10,2018,쉬미-가사
목포,차도선,남신안농협1,남신안농업협동조합,486,360,15,2016,목포-상태동리
목포,차도선,남신안농협2,남신안농업협동조합,364,234,16,2016,목포-상태서리
목포,차도선,남신안농협3,남신안농업협동조합,720,423,16,2017,목포-상태동리
목포,차도선,남신안농협5,남신안농업협동조합,469,300,15,2015,목포-상태동리
목포,차도선,남신안농협6,남신안농업협동조합,400,249,13,2010,목포-상태서리
목포,차도선,대흥고속카페리,(합)목포대흥상사,424,350,14.5,2011,남강-가산
목포,차도선,더존페리2,(유)정우해운,162,80,10,2001,송도-병풍
목포,차도선,더존페리5,(유)정우해운,170,100,12,2004,송공-신월